Row ID,Order ID,order_date,ship_date,customer_name,Customer ID,segment,category,sub_category,product_name,country,city,state,region,ship_mode,sales
1,CA-2017-152156,2017-11-08,2017-11-11,Claire Gute,CG-12520,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,United States,Henderson,Kentucky,South,Second Class,261.96
2,CA-2017-152156,2017-11-08,2017-11-11,Claire Gute,CG-12520,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",United States,Henderson,Kentucky,South,Second Class,731.94
3,CA-2017-138688,2017-06-12,2017-06-16,Darrin Van Huff,DV-13045,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,United States,Los Angeles,California,West,Second Class,14.62
4,US-2016-108966,2016-10-11,2016-10-18,Sean O'Donnell,SO-20335,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,United States,Fort Lauderdale,Florida,South,Standard Class,957.5775
5,US-2016-108966,2016-10-11,2016-10-18,Sean O'Donnell,SO-20335,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,United States,Fort Lauderdale,Florida,South,Standard Class,22.368
6,CA-2015-115812,2015-06-09,2015-06-14,Brosina Hoffman,BH-11710,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",United States,Los Angeles,California,West,Standard Class,48.86
7,CA-2015-115812,2015-06-09,2015-06-14,Brosina Hoffman,BH-11710,Consumer,Office Supplies,Art,Newell 322,United States,Los Angeles,California,West,Standard Class,7.28
8,CA-2015-115812,2015-06-09,2015-06-14,Brosina Hoffman,BH-11710,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,United States,Los Angeles,California,West,Standard Class,907.152
9,CA-2015-115812,2015-06-09,2015-06-14,Brosina Hoffman,BH-11710,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,United States,Los Angeles,California,West,Standard Class,18.504
10,CA-2015-115812,2015-06-09,2015-06-14,Brosina Hoffman,BH-11710,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,United States,Los Angeles,California,West,Standard Class,114.9
11,CA-2015-115812,2015-06-09,2015-06-14,Brosina Hoffman,BH-11710,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,United States,Los Angeles,California,West,Standard Class,1706.184
12,CA-2015-115812,2015-06-09,2015-06-14,Brosina Hoffman,BH-11710,Consumer,Technology,Phones,Konftel 250 Conference phone - Charcoal black,United States,Los Angeles,California,West,Standard Class,911.424
13,CA-2018-114412,2018-04-15,2018-04-20,Andrew Allen,AA-10480,Consumer,Office Supplies,Paper,Xerox 1967,United States,Concord,North Carolina,South,Standard Class,15.552
14,CA-2017-161389,2017-12-05,2017-12-10,Irene Maddox,IM-15070,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,United States,Seattle,Washington,West,Standard Class,407.976
15,US-2016-118983,2016-11-22,2016-11-26,Harold Pawlan,HP-14815,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",United States,Fort Worth,Texas,Central,Standard Class,68.81
16,US-2016-118983,2016-11-22,2016-11-26,Harold Pawlan,HP-14815,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,United States,Fort Worth,Texas,Central,Standard Class,2.544
17,CA-2015-105893,2015-11-11,2015-11-18,Pete Kriz,PK-19075,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",United States,Madison,Wisconsin,Central,Standard Class,665.88
